battery_power,int_memory,fc,n_cores,ram,talk_time,dual_sim,wifi,pc,mobile_wt,price_range
1658,39,0,1,3483,15,0,1,5,182,3
1263,64,12,5,1183,17,0,1,18,175,1
1395,55,0,3,3373,16,0,0,1,118,3
621,54,0,4,2801,5,1,1,20,151,2
652,58,1,3,565,9,1,1,2,142,0
1175,25,10,2,3153,12,0,0,12,145,2
561,11,0,8,3421,5,0,1,10,163,2
1137,3,6,5,316,17,0,0,7,173,0
1835,11,4,7,448,14,0,0,13,193,0
1170,40,2,6,2366,2,1,1,5,169,1
1595,44,0,4,3881,9,1,1,20,85,3
1719,12,0,8,462,5,0,0,7,122,0
1770,7,0,7,1480,17,1,0,6,128,1
1312,28,0,2,1087,14,1,0,0,163,1
1878,56,5,5,2711,3,1,1,13,139,2
1871,20,7,7,2144,12,0,1,14,81,2
922,35,1,7,1165,4,1,1,15,188,0
1975,16,6,8,2998,13,0,0,11,128,2
1212,46,1,4,2249,4,0,1,8,102,2
1430,56,3,3,752,17,0,1,5,179,0
1958,4,0,2,1409,3,1,0,3,190,1
1836,30,0,7,3072,5,1,0,15,184,3
557,24,0,3,1305,3,0,1,0,125,0
539,21,9,7,3597,9,1,0,14,145,2
880,44,1,8,3132,6,1,1,15,172,2
1369,34,6,1,3856,18,1,1,7,162,3
1109,39,1,1,1524,7,1,1,9,98,1
843,16,0,5,3673,20,1,1,6,166,3
598,21,7,2,3293,7,1,1,10,196,2
972,5,1,4,3035,19,1,1,2,126,2
1944,36,5,6,584,13,0,0,18,197,1
1225,2,0,7,2675,15,1,0,1,138,2
644,30,7,1,2382,19,1,1,16,114,2
1919,48,5,4,1391,12,0,1,6,150,1
501,54,12,4,2346,2,0,1,19,131,1
1620,30,0,3,606,18,1,0,3,185,0
1227,34,0,3,1324,12,1,1,3,130,1
1359,58,1,6,1076,4,1,1,3,107,0
1914,35,1,8,643,8,0,1,2,118,1
1645,21,1,7,783,20,0,0,2,123,0
1063,26,0,5,3809,5,0,1,2,101,3
946,19,0,8,2104,16,0,0,0,154,1
1231,54,5,3,1762,6,1,0,10,185,1
1397,9,13,6,3137,11,1,1,18,87,3
701,15,7,3,1756,17,0,1,11,160,1
570,9,2,7,3663,14,1,0,5,111,3
1993,27,10,8,2437,9,0,0,11,147,2
955,43,4,5,1432,9,1,1,8,143,1
924,47,0,8,1620,12,1,0,6,167,1
600,14,0,5,1655,9,0,0,2,112,0
518,3,0,7,2832,8,1,1,1,178,2
1063,31,0,6,961,5,0,0,10,95,0
920,46,2,3,2608,2,0,1,3,149,2
1715,3,4,5,514,13,0,0,6,171,0
1841,14,6,8,2304,18,1,1,8,167,2
543,60,4,5,933,5,1,0,7,132,0
1762,25,13,1,1896,20,1,1,14,189,1
1112,53,1,4,3655,20,1,0,16,121,3
709,35,0,1,1973,16,1,1,0,136,1
1315,64,7,7,3278,13,0,0,16,128,2
1762,15,10,8,2183,11,0,0,11,107,2
1462,25,1,7,824,13,1,1,18,182,0
571,35,8,7,2598,8,1,0,20,186,1
666,54,7,3,1254,9,1,1,13,81,0
1994,7,2,8,3622,20,1,1,7,146,3
1583,14,11,7,1704,2,1,1,16,148,2
1778,45,3,4,1624,9,1,0,17,132,1
1926,50,13,6,3809,17,0,0,17,179,3
966,50,9,4,2574,5,0,1,10,117,2
568,36,1,3,950,9,0,0,4,179,0
1897,21,1,8,273,3,0,1,2,192,0
1695,46,6,3,446,15,1,1,9,200,1
1623,61,6,7,1510,17,0,0,12,120,2
914,26,0,4,1122,2,0,1,0,147,0
1721,33,4,4,707,5,1,1,5,128,0
890,44,4,8,751,3,1,0,13,198,0
600,48,1,3,3393,8,0,0,7,191,2
1677,11,4,6,3771,12,1,0,8,124,3
723,3,0,4,1851,16,0,0,3,168,1
638,27,11,4,2735,9,1,0,17,102,2
852,62,4,7,2253,7,1,0,13,104,1
1979,32,0,7,452,14,1,0,1,165,0
710,32,6,5,1419,18,0,0,9,151,0
1034,45,2,3,969,7,1,0,4,190,0
600,22,8,1,3441,5,1,0,11,145,2
1027,64,2,2,3786,12,0,0,7,103,3
1260,13,5,6,2710,8,0,0,6,106,2
1793,12,10,6,3533,15,1,1,17,169,3
675,60,10,5,1735,13,0,1,15,144,0
658,12,0,7,3587,20,0,0,3,103,3
1694,34,0,7,2298,2,0,0,7,102,2
804,41,12,1,2027,11,1,0,13,89,1
1713,27,1,7,2406,20,1,1,3,127,2
706,31,13,3,2419,4,0,1,19,108,1
1362,25,3,7,995,18,0,1,9,131,0
1527,60,10,5,2078,11,0,1,14,154,2
768,19,0,2,1145,7,1,1,1,159,0
1314,41,8,4,626,4,1,1,12,155,0
705,57,5,6,1509,18,0,1,9,155,1
1403,26,2,5,3371,9,0,1,3,164,3
1486,52,7,4,297,15,0,0,15,85,0
781,38,2,5,3508,5,0,1,7,198,3
986,23,1,8,2385,19,0,0,3,183,1
1310,33,0,1,1301,19,0,1,14,105,1
560,57,6,3,2167,7,1,1,12,81,1
1348,43,0,5,3914,8,0,1,6,116,3
1567,22,3,6,2312,18,1,0,6,119,2
1940,17,4,5,2297,8,1,0,7,93,2
1979,19,0,3,411,2,1,1,9,176,0
561,2,7,3,665,4,1,0,13,193,0
1717,62,1,1,3226,5,0,0,3,130,3
535,48,1,1,740,18,0,0,4,113,0
1413,39,4,5,3878,4,1,0,12,185,3
1358,20,0,7,3406,11,1,1,0,135,3
1519,30,2,7,2440,10,0,1,8,112,2
1254,50,2,5,3959,17,1,0,6,108,3
1591,49,3,6,3703,20,0,0,7,154,3
977,35,2,2,3714,10,1,1,15,165,3
1640,21,10,7,337,5,0,0,14,169,0
663,25,0,2,3176,2,1,1,1,183,2
1744,20,1,8,1205,14,0,0,3,112,1
1624,28,8,2,2473,2,1,0,10,150,2
1108,2,14,7,1229,4,1,0,20,169,0
1188,9,0,2,2896,16,1,1,0,114,3
817,11,0,3,2039,19,0,0,11,144,1
863,6,5,4,520,18,1,1,13,133,0
1397,3,5,3,1378,4,1,1,15,121,1
1108,49,3,5,3254,16,0,0,12,140,3
1068,37,1,7,1803,7,1,0,13,184,1
1702,52,12,2,2501,4,0,0,15,145,3
808,8,0,4,3762,12,1,1,1,192,3
1156,61,6,7,1796,13,0,1,9,89,1
1271,54,2,8,990,6,1,1,3,159,0
696,51,6,3,2630,9,0,1,8,197,1
1981,45,13,6,1380,13,1,0,18,175,1
614,58,0,7,3487,11,1,1,2,128,2
1590,7,0,3,1201,18,1,1,17,122,1
1945,21,4,3,3015,15,0,0,10,113,3
1135,43,9,1,3204,6,1,0,11,158,3
1049,2,8,6,433,6,1,0,10,172,0
1807,49,2,1,1906,13,0,1,10,125,2
984,42,13,7,898,13,0,0,17,98,0
720,61,0,7,2799,15,1,1,8,96,3
1536,13,12,7,2020,16,0,0,20,105,2
771,25,3,4,770,20,0,0,6,86,0
503,57,3,6,305,16,0,1,11,185,0
675,42,1,7,2953,13,0,0,2,187,2
1936,34,13,7,1671,9,1,1,14,182,1
1303,15,0,3,2574,14,1,1,10,138,2
1004,35,0,6,3772,18,1,1,9,141,3
1972,37,0,2,2870,17,1,0,1,102,3
1822,8,0,6,2577,8,0,0,0,195,2
1159,18,5,1,2246,3,0,0,7,83,1
1782,58,6,1,2405,16,1,1,13,157,2
894,16,16,8,3377,6,1,1,20,168,2
1884,43,7,1,3619,7,1,1,18,185,3
1648,17,1,2,1184,2,0,1,3,142,1
798,4,5,3,2965,14,0,0,9,96,2
802,45,1,3,3713,8,1,0,9,157,3
1276,53,2,2,3798,8,1,1,3,130,3
1331,16,0,2,1026,20,0,1,7,165,1
1620,5,6,6,1086,13,1,0,18,186,1
1996,51,5,4,2236,12,0,1,9,122,2
1092,45,8,1,1303,20,1,1,10,185,1
1018,63,7,5,3048,2,1,1,18,155,2
545,11,0,3,616,19,0,1,1,131,0
554,12,0,6,3764,4,0,1,10,105,2
1264,34,2,3,419,3,1,1,3,171,0
1030,58,3,6,2858,18,1,1,20,138,3
1432,39,6,4,504,10,1,0,18,164,0
558,49,1,5,392,8,0,1,4,142,0
829,56,0,7,820,11,0,1,1,129,0
1741,14,0,8,3387,3,0,0,0,143,3
1849,15,7,5,3447,19,0,1,19,144,3
733,7,5,7,1403,2,0,0,10,174,0
1872,16,0,2,2295,16,1,1,2,80,2
1853,27,1,6,1973,8,1,1,13,197,2
1149,30,4,6,3755,8,0,0,5,106,3
891,25,9,2,2073,10,1,1,19,196,1
1911,64,7,8,3872,11,0,0,8,163,3
550,23,16,2,302,8,0,0,17,145,0
576,27,0,2,1519,8,0,1,4,121,1
1760,50,1,1,2549,4,0,0,2,198,2
969,45,0,7,404,19,0,1,0,124,0
1160,63,1,3,595,15,0,1,2,166,0
827,18,2,2,1663,17,1,1,16,160,0
1786,58,9,7,2764,7,0,1,10,161,3
774,8,2,1,2614,14,1,1,4,136,2
819,11,0,8,1094,15,1,0,1,83,0
1042,11,15,5,2826,2,0,0,16,139,2
1368,50,10,7,2496,5,1,1,18,97,2
1592,50,6,2,2103,7,0,0,17,181,1
1067,14,11,1,966,13,1,1,15,146,0
1892,47,5,4,2172,3,0,1,10,110,2
915,56,6,8,905,12,0,0,17,187,0
774,55,7,3,3916,12,0,0,18,124,3
1848,42,2,2,3902,3,1,1,10,179,3
1501,2,12,1,2487,16,0,1,15,187,2
1614,55,8,3,3914,13,0,0,17,188,3
911,46,0,5,363,17,0,0,1,181,0
1520,24,1,5,3233,4,0,1,8,199,3
1647,38,3,6,2532,15,1,1,15,102,2
1347,53,8,6,3836,14,1,1,15,108,3
967,25,4,8,3076,18,0,1,9,92,2
1442,56,0,5,1513,7,0,0,3,145,2
1204,10,0,7,1724,19,0,0,3,199,1
1320,41,0,7,542,14,1,0,2,144,0
1800,8,2,7,3481,8,0,1,6,100,3
1567,22,3,3,3991,10,1,0,19,153,3
1439,20,12,1,1790,15,0,1,17,147,1
1422,3,15,1,509,3,0,1,17,112,0
1591,52,4,3,282,14,1,1,16,161,0
880,6,2,4,3006,3,0,0,19,198,2
1929,19,0,6,1913,6,1,0,2,163,1
1642,5,0,5,1333,2,1,1,2,102,2
1511,21,3,3,3746,5,1,0,18,114,3
1312,10,5,2,3941,13,0,1,9,163,3
1852,10,4,1,3970,11,0,1,18,196,3
972,44,8,7,3925,7,0,0,10,82,3
691,33,4,4,424,15,1,1,8,108,0
807,8,9,5,1284,2,0,1,20,158,0
1113,25,0,1,277,12,1,1,10,145,0
721,16,10,1,1713,4,1,1,18,125,1
1188,54,0,6,485,7,1,0,2,198,0
1512,52,1,1,3002,7,0,1,14,131,2
805,64,0,4,418,17,0,1,14,97,0
918,8,1,7,1652,14,1,0,5,123,1
1320,48,7,5,2893,9,1,1,16,168,2
1236,57,2,1,1406,20,1,1,14,188,0
1387,61,0,3,629,11,0,0,0,98,0
1883,30,6,2,3724,20,1,1,10,95,3
839,14,0,7,3835,11,1,0,3,175,3
1593,52,0,8,1354,13,0,1,0,130,1
1722,25,7,6,2376,19,0,1,19,88,3
1954,7,8,3,3438,13,1,0,9,126,3
1788,2,15,6,2655,4,1,1,20,150,2
1628,33,5,6,3361,13,0,0,8,101,3
1965,4,6,7,3535,16,0,1,9,84,3
833,27,4,1,2150,7,0,1,6,124,1
571,43,1,3,2587,18,0,0,8,141,1
1808,31,1,2,2736,8,1,1,16,92,3
1860,55,2,6,676,4,1,1,3,83,0
1368,9,4,7,2941,17,1,0,7,115,3
1161,21,0,8,3336,14,1,1,12,126,3
1224,33,9,1,3796,13,0,0,18,157,3
902,63,0,5,3654,15,1,1,14,122,3
787,11,15,1,2934,14,0,1,16,93,2
854,30,2,8,2889,11,0,1,5,125,2
1184,48,1,1,3315,14,1,1,6,191,3
1973,39,5,4,1993,5,1,0,6,152,2
510,35,3,3,2509,11,1,1,6,120,1
966,34,8,2,3534,11,0,1,10,118,3
1438,16,3,8,2246,15,0,0,7,169,2
1986,51,7,3,3165,13,0,0,9,95,3
1907,55,13,7,286,17,0,1,15,105,0
1489,32,8,1,776,8,1,0,16,200,0
1843,16,13,6,3213,15,1,0,18,134,3
825,38,11,3,716,14,0,0,18,94,0
1286,16,10,2,424,4,0,0,18,98,0
840,63,0,7,3486,18,0,0,19,137,3
757,58,5,4,3237,9,1,1,7,163,2
814,41,2,2,1944,12,1,0,10,177,1
1195,8,2,6,643,19,1,0,6,80,0
767,10,7,4,2317,12,0,1,12,107,2
1068,52,6,8,1436,15,0,0,7,97,1
994,56,0,3,3190,20,1,1,3,173,2
1550,21,6,2,2338,15,0,0,11,133,2
1878,29,9,8,1334,2,0,0,19,85,1
623,6,2,3,3657,19,0,0,4,127,2
1829,15,0,5,2080,12,0,1,7,160,2
525,35,11,7,1609,3,1,0,20,190,0
1065,14,0,2,3078,18,0,1,2,89,2
1425,35,9,8,590,6,0,1,14,127,0
1296,11,3,7,2552,10,1,1,4,129,2
642,34,3,2,3355,13,0,0,15,197,2
1664,15,9,7,1968,9,1,0,19,177,2
1498,8,3,7,3358,19,0,0,4,170,3
981,2,0,3,1539,19,1,0,7,136,0
1236,32,6,4,942,14,0,1,18,143,0
1673,9,7,3,3669,10,1,1,10,187,3
712,9,6,2,3612,4,0,0,14,172,3
569,4,10,3,2351,10,1,0,19,170,1
603,64,0,6,604,8,1,1,0,156,0
1332,11,2,2,1285,9,1,0,4,187,1
1413,13,0,1,515,18,0,0,0,128,0
1064,34,1,6,654,6,1,0,13,184,0
1444,48,2,5,2540,15,0,1,17,82,3
1366,53,5,5,3869,14,1,1,9,161,3
906,18,7,2,3412,16,1,0,11,136,3
1554,47,3,5,509,19,1,0,12,185,0
1187,21,0,6,2547,5,0,0,6,122,2
1156,30,1,3,2735,13,1,1,16,173,2
1918,22,1,1,1369,6,0,1,5,139,1
841,39,8,6,2942,16,1,1,13,199,2
730,6,6,7,2812,17,1,0,10,167,2
878,31,13,4,3497,11,0,0,18,153,2
1059,50,0,8,619,18,1,1,1,182,0
1578,3,8,1,3483,16,0,0,20,200,3
1829,36,0,5,1475,7,0,0,1,112,1
1132,8,0,1,1950,6,0,1,4,157,1
1652,40,4,7,3592,6,1,0,6,198,3
912,58,0,5,3573,20,1,0,1,107,3
1181,61,12,2,2020,18,0,0,16,116,1
1497,32,5,3,1329,7,0,0,9,92,2
1790,49,3,3,3568,18,1,1,11,100,3
1742,49,3,1,1947,6,0,1,9,100,2
1549,8,4,5,1998,15,0,0,7,158,2
1372,34,7,4,725,20,0,0,17,193,0
1112,12,0,4,3302,20,0,1,6,190,3
1005,46,0,8,3884,20,0,1,17,133,3
783,27,9,6,1185,6,1,1,11,150,0
1698,26,10,2,1656,17,0,1,18,105,2
899,53,3,4,2870,10,0,1,11,192,2
1062,45,3,3,911,9,0,0,4,151,0
989,17,4,3,3892,19,0,0,19,166,3
1983,27,6,1,3897,10,1,1,11,125,3
1800,53,5,1,656,18,0,1,12,87,0
1254,45,0,3,606,2,0,1,3,146,1
868,30,0,4,1653,17,0,0,0,83,1
1205,12,3,4,860,14,1,1,6,175,0
1284,10,0,2,2197,9,1,1,14,155,1
626,23,2,2,3458,11,1,1,9,187,2
1763,53,1,4,2066,17,1,1,20,101,1
694,36,15,4,3676,5,1,1,20,193,3
1265,49,4,1,1518,8,1,1,5,90,1
816,14,4,3,1018,15,0,0,13,198,0
904,35,3,3,1360,11,0,0,4,168,0
979,5,0,7,3449,14,1,0,2,164,3
1531,60,0,6,2524,7,0,0,1,162,2
934,30,2,8,703,7,1,1,15,182,0
1624,58,0,3,1251,18,1,1,11,200,1
874,8,5,1,582,15,0,0,20,185,0
1027,63,0,5,1732,13,0,1,4,102,1
1966,48,15,1,1252,19,1,1,16,144,2
1048,29,2,1,2146,2,0,0,4,182,1
1496,38,13,4,1927,6,1,1,14,126,1
959,13,15,4,3328,10,0,1,16,155,2
1349,55,5,7,2462,17,1,1,7,105,2
1689,13,0,2,1172,17,1,1,9,168,0
1558,27,0,1,3598,12,0,1,1,146,3
582,27,3,3,2437,2,1,1,10,168,2
1485,44,3,4,3271,8,0,0,14,138,3
1991,9,11,3,1511,9,0,0,12,94,1
553,23,2,3,2981,14,1,0,3,119,2
1231,7,2,1,3119,15,1,0,7,113,3
805,34,1,6,3647,9,0,1,2,88,3
764,13,1,8,3148,6,1,0,2,152,2
894,54,5,3,2829,13,0,1,15,130,2
1589,46,9,3,2373,20,0,0,16,84,2
1456,39,9,8,3998,13,1,0,10,80,3
743,33,0,2,316,4,1,0,1,95,0
1061,52,3,7,999,9,0,0,4,109,0
1428,7,0,4,1808,13,0,0,2,153,1
674,8,0,3,589,4,1,0,0,93,0
832,46,0,6,3317,19,0,0,0,93,3
1625,50,2,8,670,8,1,0,17,107,0
907,42,3,1,584,6,1,0,16,151,0
1631,13,2,2,2173,8,0,0,16,166,2
1584,41,6,4,1561,17,0,1,15,135,1
1382,13,7,2,2073,9,0,1,18,199,1
633,46,0,6,1401,11,0,0,10,102,1
1444,38,9,7,3764,10,0,0,16,104,3
852,54,6,5,1275,12,1,1,7,147,0
922,47,0,8,1464,12,0,1,14,157,1
1745,57,4,3,2885,5,1,1,16,159,3
862,6,9,8,3458,9,0,1,14,107,3
1754,52,1,4,3019,19,1,1,3,101,3
1008,36,3,1,1083,6,0,0,14,109,1
1569,33,3,1,3538,15,1,1,13,147,3
1596,7,7,2,2493,13,1,1,9,149,2
1807,61,2,6,3726,15,1,0,6,134,3
1660,7,4,1,1531,7,1,0,6,184,1
1861,55,4,7,601,4,0,0,8,148,1
648,8,4,5,2991,4,1,1,19,91,2
1379,19,1,8,3912,19,1,1,17,134,3
1910,34,0,2,309,10,0,1,0,115,0
1807,13,0,8,323,3,1,1,0,155,0
1923,46,7,1,1489,3,1,1,10,191,1
1345,38,7,3,1322,15,0,0,11,162,1
904,14,5,8,1846,3,1,1,9,102,1
1239,52,5,2,417,6,1,1,10,122,0
1330,52,6,4,3269,8,0,0,12,84,3
516,30,1,1,3731,15,1,0,12,138,2
672,54,0,4,667,14,1,0,11,95,0
892,47,0,1,1241,9,0,1,18,94,1
1778,23,0,6,3941,13,0,0,11,101,3
1130,58,4,5,1018,16,0,0,14,132,0
1359,59,4,2,3142,17,0,1,6,86,3
1866,47,3,5,1444,20,1,0,9,89,1
1597,34,11,1,934,9,0,0,14,89,0
1046,58,0,8,3863,9,1,1,0,100,3
1035,44,2,3,3506,12,1,0,3,99,3
1175,19,2,7,1944,9,0,0,9,164,1
1261,11,0,4,348,14,1,1,0,90,0
1068,51,9,4,550,6,1,0,15,124,0
1713,20,5,7,971,10,1,0,17,104,0
1688,21,0,7,3984,8,0,1,0,170,3
1413,45,4,5,2973,15,1,1,6,104,3
559,11,10,5,2019,16,0,1,14,82,1
1483,19,13,7,1587,19,1,0,19,146,1
860,48,13,7,1870,18,1,0,18,187,1
1090,27,5,4,1352,11,1,0,16,91,1
686,3,11,6,570,19,0,0,15,91,0
818,43,14,6,546,7,0,1,15,177,0
1456,49,5,3,3624,16,1,0,20,193,3
774,10,2,2,2944,2,1,1,9,188,2
1068,19,0,8,1209,12,1,0,9,197,0
1373,29,1,6,2752,7,1,1,12,141,3
1777,20,3,6,3868,7,0,1,5,188,3
594,28,2,5,3087,4,0,1,3,132,2
1524,57,5,2,947,16,1,1,12,124,0
511,50,12,3,1484,8,1,0,16,175,0
1402,46,3,7,347,12,1,1,12,87,0
965,53,15,8,3227,8,0,0,19,131,2
1270,58,0,5,3299,16,0,1,1,104,3
919,13,11,1,1028,17,1,0,15,159,0
1963,34,16,2,714,2,0,1,17,157,1
1977,31,2,8,2641,7,1,0,6,173,3
1881,51,4,5,1229,14,0,0,7,158,1
683,19,5,4,2622,5,0,1,17,173,2
772,6,7,2,929,18,1,1,10,100,0
536,53,0,3,1211,7,0,1,0,135,0
1694,53,0,6,1653,6,0,0,0,186,2
1633,33,3,2,511,7,1,0,19,111,0
1371,52,4,4,3034,8,0,0,19,167,2
551,54,0,7,1414,19,0,1,15,172,0
1221,28,1,1,2438,10,0,1,7,139,3
1000,63,12,8,3744,7,0,1,18,179,3
1986,64,3,4,1377,15,1,1,20,162,1
1119,23,0,4,3520,7,1,0,1,164,3
1699,59,1,4,3796,12,1,1,3,97,3
1099,61,13,3,1699,3,0,1,20,146,1
1576,58,7,3,336,13,0,1,16,90,0
950,55,9,5,1095,13,0,0,10,156,0
1081,49,13,3,325,6,1,1,17,99,0
606,53,1,4,1223,7,0,0,2,146,0
502,37,7,2,1649,14,1,0,12,199,1
957,4,0,2,1898,3,0,0,0,160,1
1658,38,0,5,2609,19,1,0,0,159,2
1681,18,6,1,2265,20,1,1,7,167,2
1983,43,3,6,2775,3,1,1,10,87,2
1753,12,8,7,1445,12,0,1,17,113,1
1632,41,0,4,2614,15,0,0,1,132,2
1949,57,7,7,356,19,0,0,11,145,0
1696,13,1,3,523,4,0,1,2,97,0
688,57,0,7,3745,4,1,0,3,131,3
1104,60,1,2,1229,3,0,1,13,199,0
1122,28,0,3,1402,3,0,0,4,184,1
504,46,2,5,2085,8,1,0,14,172,1
1154,14,12,7,587,4,0,1,14,156,0
1727,63,2,7,2457,7,0,1,8,85,3
1674,52,0,3,2030,6,1,0,7,89,2
1948,18,5,2,816,3,1,0,14,135,0
1218,39,3,7,1667,12,1,0,14,150,1
531,63,10,7,2958,19,0,0,14,189,2
1057,5,4,5,3705,13,0,0,13,154,3
576,30,1,8,2800,16,0,1,5,162,2
1960,7,1,7,3773,6,0,1,9,165,3
673,22,3,1,2050,17,1,0,5,88,1
718,21,0,1,1754,9,1,1,7,88,1
864,35,3,3,1904,13,0,1,7,103,1
547,37,1,5,2705,10,1,0,4,154,1
623,3,1,8,3537,3,0,1,7,102,3
1793,27,11,5,1370,19,1,1,13,154,1
1720,19,0,2,1222,7,1,0,3,137,1
812,64,1,4,3102,2,1,0,7,106,2
980,33,0,6,2268,4,0,0,0,160,2
643,18,9,8,2648,18,0,1,12,187,1
1925,16,0,8,2173,19,1,0,11,175,2
1408,32,3,4,3162,3,0,0,6,151,3
1522,28,4,1,1368,17,1,1,5,124,1
587,51,16,1,2746,7,0,1,17,111,2
1959,18,5,6,619,8,1,1,20,191,0
1872,17,3,6,724,9,1,1,6,89,1
1043,42,7,3,912,6,0,0,8,111,0
1809,23,6,6,2784,20,0,1,19,123,3
1703,23,5,6,793,17,0,0,7,92,0
1095,45,4,1,560,10,0,0,5,197,0
1414,27,1,4,312,8,0,1,20,137,0
1659,41,2,7,545,9,0,1,18,88,0
1540,60,1,7,1591,2,1,1,12,197,1
1342,31,0,7,2746,10,0,0,1,86,3
1189,8,13,3,893,13,0,0,14,198,0
518,62,0,6,2514,7,0,1,0,128,1
1449,10,3,1,1032,8,1,1,12,144,1
516,39,0,5,819,10,1,1,7,91,0
1569,59,8,3,3672,15,1,1,16,111,3
1312,24,0,6,3833,17,1,0,0,156,3
1893,23,1,8,1482,17,1,0,3,179,2
1076,14,3,5,2043,14,0,0,4,105,1
530,40,1,6,1229,2,0,0,2,118,0
1044,33,7,4,1816,15,1,1,13,129,1
1330,37,11,7,2166,4,0,0,20,126,2
1836,14,0,5,2469,7,1,1,1,104,2
1741,55,1,5,2575,7,0,1,3,140,2
1869,30,0,1,1375,19,0,0,13,152,1
1331,55,8,3,1732,11,0,1,15,146,1
1655,4,6,3,673,12,1,0,12,105,0
605,18,9,2,2301,8,0,0,14,162,1
1245,30,2,5,2676,7,0,0,3,105,2
1709,58,8,2,1781,17,0,0,10,136,2
846,58,0,4,2248,13,0,0,15,123,2
1403,62,3,4,921,18,1,0,13,90,0
688,2,0,3,391,8,0,1,2,89,0
775,10,1,7,1719,18,1,1,14,185,1
1154,35,6,5,3262,16,0,0,16,159,3
1375,35,2,2,1947,15,1,1,3,194,1
1827,61,4,7,2693,7,0,1,9,130,3
1697,60,0,4,441,11,0,0,0,90,0
741,14,1,5,1886,9,0,1,13,178,0
1672,32,13,1,1267,20,1,0,20,174,1
514,57,4,3,687,20,0,1,7,186,0
1375,12,2,1,2890,12,1,0,13,105,3
989,55,4,1,1737,10,1,1,12,124,1
1510,47,11,2,887,5,1,0,13,138,0
1266,18,1,7,398,3,0,1,2,86,0
1396,46,0,7,2389,15,1,1,1,138,2
808,45,3,1,3431,13,0,1,9,161,3
1542,43,1,2,3601,16,0,0,11,182,3
745,35,5,8,2459,16,1,0,10,102,1
1735,59,0,6,3230,9,1,0,0,148,3
586,57,1,2,3646,11,1,1,5,188,3
1341,36,0,8,2200,15,1,0,1,107,1
781,64,1,2,3862,9,1,0,7,88,3
501,22,14,6,3077,17,1,0,20,174,2
1224,44,2,2,621,14,1,1,9,139,0
1970,58,11,8,2372,2,1,0,19,80,2
618,63,0,2,2574,5,1,0,1,138,2
1537,46,11,4,2857,2,0,1,17,158,3
1018,16,8,8,3143,20,0,0,10,153,3
1545,35,15,5,3197,6,1,1,20,173,3
1871,41,4,8,2727,11,0,0,5,144,3
1729,12,1,1,1519,5,1,1,6,186,1
680,9,9,3,2438,17,1,0,11,131,2
1106,54,4,3,2674,9,0,1,9,107,2
635,50,1,5,2107,12,1,0,13,97,1
618,16,8,1,2262,4,0,0,14,143,2
1671,5,13,8,815,10,1,1,18,179,0
1562,52,0,7,2829,3,1,1,9,105,2
1975,31,2,1,3022,19,1,1,17,151,3
831,62,2,8,2573,18,0,1,9,134,2
1524,10,0,4,2678,13,1,1,1,174,2
1528,55,3,5,1282,11,1,1,6,129,1
1447,9,2,8,568,8,1,0,16,155,0
1344,14,1,1,2074,5,0,0,3,190,1
564,8,1,2,2227,14,1,1,3,130,1
921,60,1,2,1080,6,1,1,3,83,0
1413,10,2,6,2867,15,0,0,6,200,2
831,55,10,6,1075,3,0,0,12,86,0
802,43,3,5,3063,4,1,0,6,153,2
1923,24,3,4,2479,15,0,0,4,86,2
1193,56,10,3,2394,14,0,0,17,196,2
904,31,10,3,2814,19,1,0,11,112,2
1285,51,1,7,2094,10,0,0,2,140,1
1635,2,0,4,2315,2,1,0,0,182,2
1923,14,5,4,2519,16,1,1,6,154,2
1851,12,3,6,735,14,1,1,11,198,0
727,32,0,7,1891,7,0,1,1,131,1
1396,44,0,6,1386,8,1,1,1,118,1
877,46,9,1,3260,6,1,0,14,135,2
696,35,11,3,2022,4,0,1,13,103,1
1009,2,2,8,1716,15,1,0,14,102,1
1526,38,2,5,3317,8,1,1,6,116,3
987,20,1,7,1454,8,1,0,3,192,0
1414,49,0,4,2290,12,1,0,1,101,1
1732,61,2,5,3940,20,0,1,3,172,3
1587,50,0,8,461,4,0,1,15,148,0
1097,21,10,7,2219,12,0,1,15,160,2
504,40,0,3,470,16,1,0,0,178,0
1159,28,13,8,2495,9,0,1,18,80,2
1910,29,0,7,2944,2,0,1,2,146,2
865,59,8,3,2361,19,1,1,9,159,2
1930,16,11,8,1783,13,0,1,12,186,2
860,40,8,3,2832,20,1,1,13,170,2
1268,42,9,6,931,20,0,0,17,182,0
999,27,0,4,1344,5,1,0,1,167,0
622,9,0,2,3916,5,0,1,0,127,2
1250,44,8,7,1882,14,0,0,20,182,1
763,51,9,5,2865,9,0,1,12,104,2
1100,15,12,8,757,16,0,1,14,112,0
815,51,4,6,3469,6,1,1,12,85,3
618,57,2,3,2399,17,1,1,7,88,1
553,18,0,2,3300,20,1,0,1,136,3
673,3,2,2,2719,9,1,1,9,84,2
563,47,3,7,3012,15,1,0,12,115,2
1590,14,12,4,2836,4,1,0,15,187,3
1031,11,2,2,2385,16,1,0,9,121,2
909,30,9,3,594,4,1,1,10,97,0
1880,7,0,4,2968,3,0,0,1,104,3
1479,24,0,6,3762,5,1,0,0,146,3
1271,2,0,1,892,20,1,0,1,161,1
709,13,11,8,467,5,0,1,15,81,0
1744,62,0,1,345,14,0,0,0,158,0
1314,40,0,7,3033,17,0,1,1,116,3
1136,9,0,6,2110,16,0,1,2,150,2
